"n"	"date"	"dream"
"0290"	"(2017-03-28)"	"In a college setting I meet a young woman who resembles a college girlfriend, Sally. She is tall, thin and self-assured, attractive and sexy. I give her a psychedelic drug. The next time I see her, in a wide open area, she is walking slowly, almost standing still, apparently tripping. I approach slowly, say hello, but curb my need to embrace her, fearing she's not alright. In fact, she's in control, and must leave soon. ""It's called business class,"" she says, making a sour face. I feel guilty. She's tripping, and I don't know and don't tell her how long it will last. But at least she's well, and my fears are unfounded. I refrain from embracing her when we say goodbye."
"0291"	"(2017-03-31)"	"A military man is talking about a cement cellar located near a firing range. Its wall are just sturdy enough to withstand a bullet, though perhaps not. The scene changes. In a cramped wooden house, I'm the third platoon medic, looking at a album of 8x10 photos. [156] There's a picture of myself, barely recognizable: a grunt hung in a tree, not the iconic photo taken in Song Be. [157] Someone knocks at the door; another GI, a tall athletic and confident man who resembles Bill W. [158] I tell him I'm the third platoon medic. He mumbles a question. ""What?"" I ask. The exchange happens twice. ""Do you have any clothes?' he finally asks. Clearly a transfer, not an FNG, I lead him up a steep narrow staircase, whose steps are like the rugged switchbacks encountered when climbing from Todos Santos to a nearby hamlet, T'chpukla. As we ascend the stairs I reflect that he's a unique person with an individual life story, but grunts are replaceable, disposable, like the dead Marines in body bags I had viewed the day before. [160] I tell him there are clothes in this room. Any questions talk to the NCO. [161]"
"0292"	"(2017-04-02)"	"I'm in a movie theater, sitting in the back, watching the feature film. Behind me, a young light-skinned black couple periodically whisper comments. Frustrated by their voices, I turn around, but it's pitch dark. I imagine being a plainclothes policeman, like Frank Serpico. [162] With authority I will turn and tell them to be quiet. When they ignore me, or heckle me, I will shoot them both in the head. I continue watching the film. The black man, who has Native American features, stands up, leans over, grabs my arm in a wrestling hold, pours something on my arm. I can't move. There's nothing I can do but call out, to scream in the darkness, ""Help! Someone call the police! Help! Help!"" The black man is stunned and frightened. I continue calling, and wake still mumbling for help, not sure if I'm sleeping or if my voice will disturb the other tenants."
"0293"	"(2017-04-03)"	"I'm given a puppy, a cross between a Samoyed and an Australian sheep dog. She's somewhat wild and disobedient, impulsively tugging, pulling the leash. When we lie down to rest she puts her head upon me. I say, ""Just let me love you. Let me love you."""
"0294"	"(2017-04-03)"	"I've befriended a dwarf. We're playing hide and seek in an attic or basement. As he (or she) looks for a place to hide, I say, ""I bet you can't talk fast without stopping,"" and speak word after word that comes to mind. The dwarf, entering a light green pup tent, says, ""Don't look in the tent."" Humorously, I say, ""OK. I won't look there."" Later, as we walk, I notice the dwarfs long dark hair is covered with droplets. He tells me not to worry. He knows what it is. The dwarf complains that his feet hurt from the leather of his shoes, which are similar to those worn by toddlers. He takes them off, flexes the cheap thin plastic soles. When I ask why he buys this type of shoe, he mutters inaudibly. ""How much do the shoes cost?"" I ask. ""Let me know and I'll buy you new shoes."""
"0295"	"(2017-04-04)"	"I'm traveling down a river with several people, a sort of family, on a large powerful speed boat. We pass through high water, calm water, water that's dark or shallow. At times I feel I'll be left behind. Speeding through deep and dark, almost black water, we make one last sudden turn, causing a large black wave to roil behind us. Slowing down, the boat enters a sleepy backwater encampment hidden by trees and brush. A tall smiling man, holding his son, comes out of a boat to greet us. We're late, but he welcomes us to spend the night. I want to give to him a bundle of handwritten letters I have saved for quite some time."
"0296"	"(2017-04-05)"	"My college friend Lynda is in my room, which is somehow haunted by the supernatural. [163] She's naked; I'm admiring her tall thin body, her loins. Red drops falls from my nose while I press it upon her sex. Lynda departs, but there on the floor, a beige patent leather high heel shoe. Whose is it? The room feels haunted. The scene changes. I enter a busy mall like open space. ""Miss... Miss,"" I call to an unattractive middle-aged woman; her straight brown hair frames her face like a Roman helmet. ""Is this your shoe?"" Patient, focused, concentrated on what I've asked, she transforms into a stocky, pitted face man. ""No...no,"" he says, and impatiently points to his right. Is he telling the truth? Getting ridding of me? Something supernatural is taking place. My dog has been here all this time. I'm petting her, loving her, though worried about Lyme disease and ticks."
"0297"	"(2017-04-06)"	"Young and handsome, I'm making my way inside a large dim lit split-level club, circulating amongst the lively crowd, hoping to meet someone. On a balcony, a young man sits at a table with several attractive women. How do they do it? Socialize, meet people. Everyone appears at home, at ease. I wander past a short brunette woman, and for an impulsive second feel attracted to her. We make small talk. She and her look-alike sister are taken aback. ""You're a man!"" she exclaims. ""And you have a mustache!"" I say, ""My sisters have mustaches too!"" And still they marvel; it's clear these women are developmentally disabled. To my left, three young men, their cousins or brothers. ""There are more of them, "" I say, attempting humor. In truth, I feel superior and guilty."
"0298"	"(2017-04-06)"	"Sitting in the back of a deserted theater, I recognize an Italian mobster who stands toward the entrance. A police detective arrives. I try pointing out the mafiosi without giving myself away. Then I raise my arms. Then I point directly at the mobster, a handsome mustachioed and powerful looking man, wearing a white shirt, with curly swept back hair. What does it take for the cop to understand? Is he also in the mob? The Italian walks to the back of the theater. He leans over me. ""Frank...Frank,"" I say. ""Don't do it."" He slowly collapses on me. I feel a cold liquid on my arm."
"0299"	"(2017-04-06)"	"I'm in the ocean, far from land. Only flat calm water is visible. A flat square piece of orange plastic, about the sized of a note book, pops out of the sea. Several times I yell, ""Help!...Help!"" but no one can hear me. Somehow, easily, (is it by my former girlfriend Karen?), I'm saved, back on land. All the while, I've not afraid, but aware how ordinary it is, the possibility of dying."
"0300"	"(2017-04-06)"	"In a busy building, I'm taking S to court. By accident I leave a favorite book in a bathroom. When I return, it's gone. I hurry to a four-foot high cinder block bookcase arranged in a square. To obtain another copy of the book I must climb over the ledge, but my side hurts. Instead, I grip one ledge, lean down, hoist my legs atop the short wall, pull myself up and over. In the court hallway I meet S, who wears a baseball cap. He's visibly aged, is frail, thinner, smaller, wrinkled. Instead of hostility, we greet as friends. The scene changes. I'm late to court, crawling on hands and knees down a cobblestone hallway, imagining Russian spies may look to thwart me."
"0301"	"(2017-04-08)"	"I'm in a darkened cozy bar, similar to Club 55 in Greenwich Village. A middle-aged black man sits near me. He begins playing a small trumpet or bugle. When he's finished the song, with deliberation, to show true respect, not to patronize him, I say, ""I like your music very much."" We talk a bit. The bar gradually empties. A cop approaches me, a burly state trooper, who discreetly tests my backpack for drugs. It's similar to the border crossings in Guatemala in 1992, and Mexico 1994. As in life, I'm not afraid. I don't have drugs. Not long afterward, preparing to leave, as I put on my cap and coat, I ask the cop, ""Have you seen my pack?"" He looks under the bar, nearly pitch black; it's not there. ""Shit,"" I say, and tell him I'll check up front. I imagine seeing someone hoping to walk out with my pack. I imagine confronting the thief."
"0302"	"(2017-04-08)"	"In a sandy area two young brothers with black hair collaborate on producing a film. Repeatedly, after each simulated explosion, sand splatters the face of one man. Conventional films, says the older brother, don't interest him. He wants to strip away the ego, to show the real person, the person as he is, not the outcome of thinking."
"0303"	"(2017-04-09)"	"Outside Ed Svasta's office I learn that long ago Bob and Janice M lied that I had stole things, lied about another event too. [164] [165] When I challenge Bob, he begins to physically fight back. Without an appointment, I enter Ed's office just as he's saying goodbye to a patient, a tall man with swept back hair. Afterward Ed says to me, ""I can see you for a moment."" But when I enter his therapy room, instead of chairs and Bioenergetic equipment, Ed sits behind a lunch counter, making a sandwich for a customer."
"0304"	"(2017-04-09)"	"On a clear moonlit night in New York I'm walking home through an alley similar to that at my grammar school. By chance, I'm beside a woman I may know. ""Are you..."" I ask, then stop; there's no need to descend to fandom. It's Sasheer Zamata, who is beautiful, her face radiant, her Afro hair tied with a red bandana. [166] As we walk together, she continues to look straight ahead. ""I'm not trying to pick you up,"" I tell her. ""I live on Eastern Parkway."" [167] She does not reply. I tell her how people mistake me for F. Murray Abraham, about leaving a message on his answering machine, about the message he left on mine. [168] But Sasheer Zamata will have none of it, and remains silent, even though I assure her it's just polite conversation. The scene changes. I'm with someone, possibly Dave C, inside my building, whose pleasing well-lit interior now resembles the grim halls of Ivy Hill. [169] I point out to Dave the dismal sameness of each floor: the dark, narrow hallways; the shoddy tiled floor; the grim cement stair fire exits. I tell him that on this level the glass window in the fire exit door was likely broken by the same long haired youths who yesterday peered through my first floor window, looking to break it, until I unholstered and brandished a pistol."
"0305"	"(2017-04-11)"	"I ask two burly K9 cops about their German Shepherd. When confronted by a suspect, when do they approach with the dog leashed, and under what conditions is the unleashed dog sent to attack a perpetrator? In reply, one cop asks what I know about K9s. I tell him about the incident in Cambodia. [170]"
"0306"	"(2017-04-13)"	"At a grim New York hospital I find my way to an office for radiation therapy, but the clerk tells me I can't just enter as I please, and directs me elsewhere. At the right office, after I lie upon an exam table, a nurse places needles in both my arms, and draws blood. I must hold my arms behind my head until the treatment is done. The scene changes. At a busy restaurant, when I go to pay the check, I see Rosanna Arquette and another woman, who I can't take my eyes away from. [171] In the meantime, Rosanna talks with a female manager about finding work. As the manager relates in detail where she must go to apply, Rosanna, who appears desperate, interrupts her. ""OK, I'll go there,"" she says. Immediately, she and her friend leave. It's clear my staring has made her uncomfortable. Someone else, possibly Bob M, expresses interest in Arquette. I tell him her gimpy walk hints she's a drug addict."
"0307"	"(2017-04-14)"	"For the excitement, one after another I enter the unoccupied homes in a wealthy and forested suburban neighborhood. After entering the kitchen of one particular house, an old New England dwelling with low narrow doorways, low ceilings, thickly painted walls, detailed panels and trim, I can't find my way out. Finally, I open a door, which leads up a small stone or cement stairway to a densely wooded yard. As I'm walking away, a small boy comes running down a narrow path and waves hello. I do the same. But from here, how do I find my way home? The streets are vaguely familiar, but I don't know where I am."
"0308"	"(2017-04-14)"	"I'm an actor in a science fiction movie. It's so odd to see how movies are made. Scenes with dialog are filmed separately. Actors speak their lines to the camera. Skillful editing creates the illusion of two people conversing. In my scene, with a female actor, we fire a laser weapon, or one is fired at us."
"0309"	"(2017-04-14)"	"At night, in the rain, I bid a woman goodbye. Having inherited real estate, she's now a landlord. ""You're set,"" I say, and ask to be in touch. I may need a place if I move. She asks what sort of apartments I've rented. I tell her mostly middle end, not luxury. She gives me her business card, a folded piece of paper with her name and address on one half, the names and email addresses of many people in a social group. I want to tell her such information should not be on a business card, but I say nothing."
"0310"	"(2017-04-16)"	"On an island a woman in 19th century garb has conspired to have her husband murdered. She stands looking seaward; behind her, an ironing board. Far out at sea, on a large ocean boat, a worrisome man wearing a straw hat sits in a small boat fixed on a gangplank above calm water. Worried but resigned to his fate, he tells a pair of crew members to release the boat from the plank. Back on land, the ironing board falls away from the woman; a shimmering cloud descends upon her. An older woman, possibly her mother, comes by. The two women witness a wooden plank rising from a cylindrical hole filled with boiling water. Standing near the hole, the older woman chants, ""Talk to us, spirits. Talk to us."" A ghost like figure begins to form in the steam."
"0311"	"(2017-04-17)"	"On a sunny day in a well lit college classroom a female Marine officer teaches the Vietnam war. I make a comment about Larry M, telling her and the class that Larry, from the South, is a good person, but his reports on Vietnam are based solely on internet searches. He means well, but that's not how it's done. The teacher approaches me when the class ends. In her WWII olive drab uniform, smiling, friendly, she hands me a well-used leather-bound bible, one of several she has in hand. She says the Marines call it the (un-recollected). She turns to talk with another student. But why did she give me a bible? I wait for her to finish talking, then interrupt her. She says the bible was a gift for my comments about Larry."
"0312"	"(2017-04-18)"	"To buy movie tickets my former girlfriend Karen and I go to New York's 42nd Street. It's busy here, bustling and crowded. But something is different. The tickets are sold by a red haired woman who sits in a small storefront booth. Her makeup and hair are styled after actress Rita Hayworth. I give her money, she hands us tickets and change. But I've given her fifty dollars and she hands Karen only $9.50. At first, when Karen complains, I think she's wrong, and count the bills. But she's right; I complain too. The red haired woman says we've overlooked the $3.50 service charge. I do the math, and wrongly conclude she's correct. We leave, walking to the theater by way of a Russian war zone. Karen has walked this way before. To enter the theater we must run down a wide dirt road, jump over a cement barrier. The moment we dash forward, a machine gun opens fire. I imagine being hit, the bullet lodging in my leg. Karen easily crawls over the barrier to safety, but it takes me several tries, where I'm vulnerable to being shot. Inside, the sprawling movie complex is nearly deserted; the low ceilings hint we're underground. We meet up with a couple who had joined us earlier. I walk to a desolate bathroom, with a hand iron press a white hand towel completely flat. I confront Karen, who seems to no longer to care for me. She says she's sorry, she's tired. We enter the small crowded theater, where her spirits pick up. ""Karen, do you have the tickets?"" ""No,"" she says, ""I didn't bring them."" I'm angry, disappointed. Karen has done this before. With Anthony I go to buy tickets. [173] When he locks himself in a room, I become frustrated. ""I'm out of here,"" I say, and decide to leave Karen, to leave this entire bad day behind. Calmed, I ask a uniformed older woman where the tickets are sold. She points to a deserted area, and to three off duty women. I approach them, ask to buy two tickets, put down a wad of bills. An older woman customer appears; there is confusion over her money and mine. One of the ticket women, observing my funds, says she can't take Euros. The scene changes. With the other couple, Karen and I are passengers on a train that winds through a forest, but speeds through sharp winding turns. While the others enjoy the ride, I'm fearful of vertigo. The train goes too fast."
"0313"	"(2017-04-19)"	"I'm in the country with Dave B; a festival or event is taking place. While everyone watches what's taking place, I look to the tree tops. High among the branches, a dozen or more Aborigines, clustered like macaques, sit half hidden, silently watching the scene below. As I tell this to Dave, the festival goers stop to hear what I've said. To them I say, ""When I talk, everyone listens."" Without my camera I can't take photographs. Dave lies on the ground. As he speaks, I look into his mouth. He's missing a front tooth. ""I had a great surgeon,"" he says. Where I would be worried, embarrassed, Dave is unconcerned by the disfiguring gap. I want to talk about the Aborigines; calmly, Dave talks about his tooth."
"0314"	"(2017-04-20)"	"In a bunker in Vietnam, an officer leads several medics in an effort to decipher the radio code for the portable radio transceiver. At my turn, I tell the officer I don't know about this sort of thing. I tell him I did eights months as an infantry medic, worked a few months at a dingy aid station. I cover my eyes to hold back tears, begin to weep. I don't care that the officer and medic's see it. Inside the grim bunker, I release my sorrow, tell them of loss, deep loss."
"0315"	"(2017-04-21)"	"There are several letters waiting for me at 162 Highland Place. I try opening one. Too thin and flat, I put them all aside."
"0316"	"(2017-04-21)"	"I'm staying in a house with a friendly, caring man who owns a dog, part shepherd, part chow. When we first meet, the man looks in a cabinet or bureau for a trophy won by the dog. Once the animal and I are acquainted, I love this dog, and the dog loves me. Sitting on the couch, the mutt curled beside me, I can't help but to pet and love this intelligent animal, and turn down a chance to live elsewhere."
"0317"	"(2017-04-22)"	"Barefoot in a derelict building located in a run down city, I have cuts on my feet from glass and rubble strewn on the floor. Two porn magazines lie open. One reveals the beautiful face of a young woman casually looking over her shoulder. The other reveals a vagina photographed close up. While I dress the cuts with ointment and small bandages, I ask my brother to guide me. As we do this, a newly arrived man wants to know my education. I tell him, ""I have a masters in Obscene Literature."""
"0318"	"(2017-04-22)"	"I have a room in a college dorm. A long-haired man, handsome, tall, powerful, shows up at the door. I know this man. Has he stolen something from me? He says, no, he's here to explain. I don't care. I stand up to him. I argue. When I taunt him, yelling, ""You hurt me! You hurt me!"" he patiently curbs his anger. Hiding my fear, I say, ""You should go,"" shut the heavy wood door, turn the metal latch. But the door doesn't lock; the man pulls it open. My roommate hears him, but without seeing who it is, speaks taunting words. Waking with fear, I forcefully say to the long-haired man, ""You should go."""
"0319"	"(2017-04-23)"	"A college party in South Orange, NJ has ended, but with several other men I'm trapped in a room with a drunken man armed with a loaded 38. snub nose revolver. Everyone is tense; the drunk threatens to kill first one man, then the next, by shooting each point blank in the head or face. Some men crack under the pressure and beg to be shot. Slowly, the drunk falls groggy as a brave man waltzes him around the room, at the same time seeking to disarm him. When he finally succeeds, he calmly hands me the pistol, gingerly lays the drunk on the floor, edges me out of the room, shuts the door. In the stairway with another man, I take out my cell phone. ""What's the address here?"" I ask. He knows only the street number, which is 82. We go outside to a sizable square yard with a black footpath and well kept garden. Just as I'm about to call 911, two young women and an ornery man with a full head of hair arrive for the party. The full-haired man directs an ominous remark to the man with me. There's tension. These people are out for trouble; unaware, they head inside."
"0320"	"(2017-04-23)"	"Terrorists are using high altitude drones which appear in the sky as copper objects that slowly circle as they make their descent. It's not known if the unmanned vehicles will explode or disperse poison gas. Either will cause societal havoc, but people will find ways to socialize."
"0321"	"(2017-04-24)"	"It's night in the jungle and the moon is out. I'm with third squad in a large WWII tent or the M's garage. Filthy, stinking and sweaty, clothed in WWII gear, we lie on the bare rocky earth. Our morale is good. I talk to Pete, telling him who I think should stay in the squad, who should go. ""Ernie is trouble. He could get everyone killed."" [175] I feel bad saying this, and tell him anyone could get us killed. Other men arrive. There is Melhop, the stern machine gunner and sergeant. Someone opens a bag of salted sun flower seeds, offers them around. Taking too many, I try to put them back in the small hole cut in the corner of the cellophane packet. A naive young girl, happy and high spirited, tells us she likes to ride in a convertible. I say, ""I've got some Compazine. [176] Wanna go for a ride?"" I look to the men in a fraternal way. For a moment everyone laughs."
"0322"	"(2017-04-25)"	"I plan to lead several immigrants across the desert but we decide to go back for water and supplies. At a house where my family lives, I take cheese from the refrigerator, sun screen (zinc oxide), a canteen of water, though I have to look hard for my canteen belt. Thinking I will take her with us, my dog, here a black lab, growls excitedly, and follows me about. Impatiently, I say to her, ""No."" My mother says, ""She doesn't follow you anymore."" Waking, I say to my mother, ""You're so fucked up."""
"0323"	"(2017-04-26)"	"I join or follow a group of people on a long walk, thinking we're all headed to the same place. Instead, we enter an immense church; a wedding ceremony is underway. I walk near the bridesmaids, sexually aroused by one young woman in particular. Young, tall, thin and beautiful, she wears a modest calico dress. It's clear to others that I want to look up her skirt. A dozen young girls in folk costumes stand on a circular platform. A sort of parade float, it has several levels, like a birthday cake. The girls are happy, smiling. I'm aware they will remember this occasion for a long time. The scene changes. I'm a guest at a house run by Aunt Zani. In the kitchen I talk with a man about the nearby gigantic front-loading washing machine that resembles an old fashioned coffee roaster. I reflect that my mother had a similar machine in the basement on Ivy Street. The man is replaced by two girls from the wedding float. We talk while sorting wash. ""I haven't done drugs in thirty-seven years,"" I tell him. There's a knock on the front door. I go to answer it, but the door can only be reached by a room filled taut pastel canvas sheets. Standing near the door, I ask who is it. A woman responds with a fearful diatribe against drugs. I tell her I haven't done cocaine in thirty-seven years, but I understand why people do. Cocaine makes you feel good. It increases creativity. Many recreational users are neither addicted or harmed by it. I tell her I don't do use cocaine because the quality of street drugs is untrustworthy. I'm recalling the cocaine given to me by an upstairs neighbor in the town I lived in in 1982. Cut with speed, it caused me much anxiety."
"0324"	"(2017-04-28)"	"I come upon a horrific scene: hundreds of people, trapped in buses by the Army or police, lay massacred. One man is held down, his head run over as he screams, ""Wait!"" I run to a cluster of crowded shop fronts and push open a glass door. An official looking middle-aged man, with thinning blonde hair, and wearing a jacket and tie, stops me. ""Where do you think you're going?"" I say, ""I work here."" A handsome younger man, with boyish tousled hair, and wearing jeans, a white shirt, says, ""Oh yeah? What's your honor code?"" Of course, I have none, but to return outside is a death sentence, which both men know, and is precisely what they want."
"0325"	"(2017-04-28)"	"In a dreary warehouse, atop a dark green steel locker, which I reach by standing upon a chair, I find four Glock pistols and two automatic rifle magazines; all are loaded. I'm excited, and look elsewhere on the locker, but find only used or broken eye glasses. Who has left theses things here? For some reason, I think of Alan, who lost his leg in a motorcycle accident in the 1970s. I walk outside, and trek across a large soggy lawn, which reminds me of a park in Blackburn, Australia. Here, the earth curdles like fresh shit. Two hundred yards away, from atop a French colonial building, two police or intelligence agents hail me by name. ""Hey, Marc. Come over here, we'd like to talk to you."" But I know this tactic, and keep walking, hoping they will not come after me. I reach a small grove, and look for a place to dip my muddy hands in clear water. Everywhere, the water is fouled by mud. A man appears in a second floor doorway. Then he is gone. I can't enter to wash my hands, and keep walking."
"0326"	"(2017-04-28)"	"As I walk forward in a small grassy field, I expertly spin a cantaloupe on my index finger. My brother arrives, wearing the cantaloupe, now peeled, and shaped like an upside down flowerpot, on his head. I say, ""Hey, I want some of that."" He says, ""She (our mother) has a separate one for you."" My brother speaks negatively about me."
"0327"	"(2017-04-29)"	"With two other people, I walk in hilly woods, when suddenly a Centaur gallops past. He is huge, dark complected, with a stark round face, boyish tousled black hair, and remarkably agile and swift. Where has he gone? Moments later, not far away, through the brush and scrub, we see him on high ground. As we continue walking in the rugged woods the centaur nimbly gallops down the hill. Half concealed by leaf and branch, he stops only twenty yards away, staring straight at us. Slowly, I approach him. The creature is wholly alert, prepared to bolt at the first sign of danger. But I mean no harm."
"0328"	"(2017-04-29)"	"It's night. I'm in a dilapidated basement, about to do my wash, waiting for another man, a large man who resembles Greg, to finish his laundry. When he's done, I clean up the area, then run the water, which begins to flood the machine, running over the sink, spilling onto the floor. Panicked, I call Brian, just then waking up. The connection is poor, but I can hear Brian's wife in the background. I tell Brian there's a problem. I tell him the water won't stop. I'm aware the ceiling below will have water damage. Brian, patient but annoyed, says try turning the water off. Since the faucets are old, rusted and creaky, I'm surprised this works. I tell Brian the problem is solved, then clean up the water, which has puddled on the faded white linoleum floor."
"0329"	"(2017-04-30)"	"I'm on a space craft orbiting Earth. In a module separate from the main vehicle, I find an alien space craft. Two to three meters long, it resembles the front of a Piper Cub. Radioing my superiors, I tell them I've found, ""A space craft from an alien civilization, or from Earth, but unknown to us."" All the while, I'm calm, objective, confident. Outside, there is only pitch black space and countless white stars."
"0330"	"(2017-05-02)"	"At night, I'm on a large base in a mountainous country. The base is more like a fortress than an LZ. We come under attack. Where are they? Smoke and haze, sparks and fog obscure the landscape. I grab my M16 but it won't fire. I grab an M60 and begin shooting at enemy soldiers who are dressed like Taliban. The machine gun may jam but I concentrate on sweeping the bullets from left to right, cutting the enemy down. Fifty yards ahead, crawling forward, a man with a black mini-gun. I shoot a burst that topples him. Another burst, he is not dead but writhing, severely wounded. A young man on our side, dressed as a civilian, appears on my left. Tall, powerfully built, with thick black hair, and wearing a white shirt and black pants, he is relaxed, confident. I continue firing across the landscape, not caring if the people are civilians or soldiers. In fact, I like what I'm doing. I'm shooting people. Killing them. The black haired man, whose has watched without judgment, says, ""It's like a video game."""
"0331"	"(2017-05-03)"	"I'm preparing for work on my new job. The garbage truck sits in the middle of a sunny street located in a pleasant country setting. But when I approach the truck, I see that it's more like a piano than a refuse-hauling vehicle. The four-man crew, proud of their work, keep the truck neat, polished and clean. One man, wearing an old pair of Eastern Mountain Sports pants, recommends I put on similar clothes, rather than what I'll wear the rest of the day. The crew can tell I've not done hard labor; my pale feet are uncalloused. I'll wear what I have on, a pair of jeans, my usual outfit."
"0332"	"(2017-05-03)"	"My father's had a stroke. A thin grey-haired old man, who resembles Jack, my landlord in the town I lived in from 2001 to 2012, sits at a child's school desk, asking me questions about my brother. What kind of work did he do? How far did he drive? Etc., etc. I don't know, I tell him, because I haven't seen my brother in ten years. [179] He's become someone I don't know. A second old man, clearly fragile, shuffles by. He doesn't see the pair of leather slippers in his path; I say nothing to prevent him from tripping. He steps on them, continues walking."
"0333"	"(2017-05-04)"	"I'm on a city street corner, where the men I'm with sell carved wood statues to tourists and passer by. I take a turn, hawking a large colorful carving, a stylized man or woman of African or Mayan descent. A middle-aged Mideastern man, wearing a Taliban-like turban, tries to steal my statue, but I catch him, and we fight and tussle as he tries to escape. From fifty yards, on the same street, glimpsed through passerby, I watch as my American traveling buddy in Laos, Adam, and other men pummel the thief, shout at him, Adam atop the man, beating him, demanding that he confess. Half naked, I approach this scene, holding in either hand two pair of black smudged baggy pants made of cheap cotton fabric. In plain sight, I put on one pair of pants, and say to Adam, ""How goes it?"" He says the man has a son and for that reason would not talk; he let him go."
"0334"	"(2017-05-06)"	"I'm riding in a car with my friend Frank's mother and two other people. She describes at length how as a child I would pick my lips, which would then imparted a foul odor, which everyone attempted to ignore. A Filipino woman asks about sunburns; I tell her about a $12 patch used in childhood, which changed color after too much sun exposure. The scene changes. I've run out of medication and am at the VA, talking with two people. There is a woman who I refer to as my childhood surrogate mother, who asks about my brother. There is an Israeli man to whom I explain the meds I'm taking. I show him a brown bottle containing several dozen tablets. When they're gone, it cannot be refilled. I decide to request a new drug."
"0335"	"(2017-05-06)"	"I'm in the mountains, the landscape is similar to Todos Santos, Guatemala. At first, with an adz, I'm chopping the earth on the mountainside. A war simulation takes place. Choppers fly close overhead. Tanks fire their cannons. I'm with Lieutenant Sharp, who is fearless, and one or two other men from the platoon. Enthusiastically, I recount these things to a man I know, but when he asks where this event took place, I struggle with the name. Then I tell him, ""Quan Loi, in northwest Vietnam."" [181] He shows me several plastic avatars of the men in my platoon. There is Sharp, with his fiery red hair; I recognize a few other men. At first I don't see my avatar. Then I spot it. I'm wearing my army baseball cap, the one from Devens, whose visor, with Magic Markers, I had festooned with the gold leaf brocade of a staff officer. [182]"
"0336"	"(2017-05-07)"	"I'm in a strange college cafeteria. Where the other students are lining up for the main meal, I want the alternative, but am forced to wait. When I make myself known, a large student, who resembles a bully from high school, lumbers toward me. I throttle a punch that tumbles him down. With the heel of my boot I stomp the flat of his ear. I want to kill, not hurt him."
"0337"	"(2017-05-07)"	"I'm young, sitting in a large airy, well lit classroom at a writer's conference. Though few students are present, several teachers, including my friend Professor Roger S, write on large white boards. The scene changes. I'm in a dorm bedroom, lying on my bed, and begin talking to another conference participant, a stocky plain looking balding young man. I ask if he's written anything. I ask what sort of writing he pursues. He says he's written just one story. He asks about me. I tell him I'm writing a story that will incorporate dialog from another story I've written. As I tell him these things he puts his hand up my pants and tries to fondle me. Repeatedly, I punch him in the face. With each punch I'm yelling at him, ""Why? Why? Why?"""
"0338"	"(2017-05-08)"	"I'm hiking in the woods, walking down a steep marshy path back to where I left my large New Zealand backpack. Two dogs, a German Shepherd and a mongrel, charge me. The Shepherd comes perilously close, nips the air in front of my face, and rushes past. The mongrel tags behind me, then tries to bite me. ""No! No!"" I yell at it. When I return to the area where I've left my pack, the area has become a vast clear lake. What will I do? My pack contained my only pants, shirts and towels. I begin walking the opposite way. I take off and discard my pants and wade in the clear clean water. Reaching high ground, I see that the trail leads to a cabin-like convenience store, where a woman who resembles actress Sondra Locke, wearing a billowy old-fashioned cotton dress, stands outside. [184] I'm immediately attracted to her. In the store, I buy a cup of coffee, then walk around the cabin porch, past an open lot, back to the trail. I'm now fully dressed, and wearing my colorful windbreaker. Passing the woman, who sits in a rocking chair, her open legs poised as if ready for sex, the windbreaker catches on the leg of a nearby chair, causing me to spill coffee. Annoyed, the woman says, ""What's wrong with you people? Give me back my chair."" Feeling foolish, I free the windbreaker and leave, coming upon a crazed looking young man; from the look of his clothes, a mechanic of some kind. We are nearly face-to-face when he removes from his shirt pocket a gun barrel like object and tries to shoot me in the head. My fear gives me strength. Using my arm to grapple with him, I manage to hold and push his arm, but am shot in the shoulder. I'm bleeding. The man pulls another barrel from his shirt pocket, but I wrestle with him, and manage to aim it at his head, and fire, wounding him. With a third barrel, he shoots himself in the eye and mouth, pressing the barrel into teeth and gums, the bullets firing like inky injections. All the while, as he tries to shoot me, I'd been yelling, ""No! No! No!"""
"0339"	"(2017-05-09)"	"In thick jungle another man and I hide from the NVA or VC. The jungle is so dense it's almost impossible to be seen, almost impossible to move. We can hear them approaching. Hear them talking. We crouch even tighter, closer to the ground. We must be silent, still, soundless. I suppress a cough. I imagine being captured or shot."
"0340"	"(2017-05-09)"	"I'm young, attending a gathering in a large building where everyone sleeps in rooms where mattresses in orderly rows lay on the floor. A young woman has mistakenly put her toiletries on my mattress, neatly grouping her items with mine. When I point out her mistake, she says she will find another mattress. When I return, she has taken the mattress and sheets to the other side of the room. I must replace the sheets; obsessed I run around, frantically searching, dimly aware this is fruitless, unimportant. I can make do. This is so for shaving as well. Without my kit I can't shave. I've got stubble. I won't look perfectly clean shaven. So what? In a corridor I meet Robert Farjam, a youth known from summer camp, whose bullying I stopped by picking him up and tossing him out of the bunk house, to the surprise of everyone. ""Which room are you in?"" he asks. I say, ""This place is like an insane asylum."" I tell him all the rooms are the same. I almost say, 'I feel like I'm home.' Having gone outside, wearing new tan colored carpenter's pants that fit well, I run across a wide cement and flagstone plaza, back into the building. Barry Baldwin, a confident youth from high school, walks past in the opposite direction. He is sullen, silent, uncommunicative. I'm feeling confident, athletic, and rip off a gimmicky piece of fabric from the side of my new pants."
